obj_id_raw,year,base_prefix,images,image_count,_source_files
1/2024/0349 0,2024,1-2024-0349-,"['1-2024-0349-000-000.JPG', '1-2024-0349-000-001.JPG', '1-2024-0349-000-002.JPG', '1-2024-0349-000-003.JPG', '1-2024-0349-000-004.JPG', '1-2024-0349-000-005.JPG', '1-2024-0349-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0350 0,2024,1-2024-0350-,"['1-2024-0350-000-000.JPG', '1-2024-0350-000-001.JPG', '1-2024-0350-000-002.JPG', '1-2024-0350-000-003.JPG', '1-2024-0350-000-004.JPG', '1-2024-0350-000-005.JPG', '1-2024-0350-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0351 0,2024,1-2024-0351-,"['1-2024-0351-000-000.JPG', '1-2024-0351-000-001.JPG', '1-2024-0351-000-002.JPG', '1-2024-0351-000-003.JPG', '1-2024-0351-000-004.JPG', '1-2024-0351-000-005.JPG']",6,Liste_AK Kommunikation.xls
1/2024/0352 0,2024,1-2024-0352-,"['1-2024-0352-000-000.JPG', '1-2024-0352-000-001.JPG', '1-2024-0352-000-002.JPG', '1-2024-0352-000-003.JPG', '1-2024-0352-000-004.JPG', '1-2024-0352-000-005.JPG', '1-2024-0352-000-006.JPG', '1-2024-0352-000-007.JPG']",8,Liste_AK Kommunikation.xls
1/2024/0353 0,2024,1-2024-0353-,"['1-2024-0353-000-000.JPG', '1-2024-0353-000-001.JPG', '1-2024-0353-000-002.JPG', '1-2024-0353-000-003.JPG', '1-2024-0353-000-004.JPG', '1-2024-0353-000-005.JPG', '1-2024-0353-000-006.JPG', '1-2024-0353-000-007.JPG', '1-2024-0353-000-008.JPG']",9,Liste_AK Kommunikation.xls
1/2024/0354 0,2024,1-2024-0354-,"['1-2024-0354-000-000.JPG', '1-2024-0354-000-001.JPG', '1-2024-0354-000-002.JPG', '1-2024-0354-000-003.JPG', '1-2024-0354-000-004.JPG', '1-2024-0354-000-005.JPG', '1-2024-0354-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0348 1,2024,1-2024-0348-,"['1-2024-0348-000-000.JPG', '1-2024-0348-000-001.JPG', '1-2024-0348-000-002.JPG', '1-2024-0348-000-003.JPG', '1-2024-0348-000-004.JPG', '1-2024-0348-000-005.JPG', '1-2024-0348-001-000.JPG', '1-2024-0348-001-001.JPG', '1-2024-0348-002-000.JPG']",9,Liste_AK Kommunikation.xls
1/2024/0480 1,2024,1-2024-0480-,"['1-2024-0480-000-000.JPG', '1-2024-0480-000-001.JPG', '1-2024-0480-001-000.JPG']",3,Liste_AK Kommunikation.xls
1/2024/0504 0,2024,1-2024-0504-,"['1-2024-0504-000-000.JPG', '1-2024-0504-000-001.JPG', '1-2024-0504-000-002.JPG', '1-2024-0504-000-003.JPG', '1-2024-0504-000-004.JPG', '1-2024-0504-000-005.JPG', '1-2024-0504-000-006.JPG', '1-2024-0504-000-007.JPG', '1-2024-0504-000-008.JPG', '1-2024-0504-001-000.JPG', '1-2024-0504-001-001.JPG', '1-2024-0504-002-000.JPG']",12,Liste_AK Kommunikation.xls
1/2024/0507 0,2024,1-2024-0507-,"['1-2024-0507-000-000.JPG', '1-2024-0507-000-001.JPG', '1-2024-0507-000-002.JPG', '1-2024-0507-000-003.JPG', '1-2024-0507-000-004.JPG', '1-2024-0507-000-005.JPG', '1-2024-0507-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0509 0,2024,1-2024-0509-,"['1-2024-0509-000-000.JPG', '1-2024-0509-000-001.JPG', '1-2024-0509-000-002.JPG', '1-2024-0509-000-003.JPG', '1-2024-0509-000-004.JPG', '1-2024-0509-000-005.JPG', '1-2024-0509-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0510 0,2024,1-2024-0510-,"['1-2024-0510-000-000.JPG', '1-2024-0510-000-001.JPG', '1-2024-0510-000-002.JPG', '1-2024-0510-000-003.JPG', '1-2024-0510-000-004.JPG', '1-2024-0510-000-005.JPG', '1-2024-0510-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0520 0,2024,1-2024-0520-,"['1-2024-0520-000-000.JPG', '1-2024-0520-000-001.JPG', '1-2024-0520-000-002.JPG', '1-2024-0520-000-003.JPG', '1-2024-0520-000-004.JPG', '1-2024-0520-000-005.JPG', '1-2024-0520-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0521 0,2024,1-2024-0521-,"['1-2024-0521-000-000.JPG', '1-2024-0521-000-001.JPG', '1-2024-0521-000-002.JPG', '1-2024-0521-000-003.JPG', '1-2024-0521-000-004.JPG', '1-2024-0521-000-005.JPG', '1-2024-0521-000-006.JPG', '1-2024-0521-000-007.JPG', '1-2024-0521-000-008.JPG', '1-2024-0521-000-009.JPG', '1-2024-0521-000-010.JPG']",11,Liste_AK Kommunikation.xls
1/2024/0522 0,2024,1-2024-0522-,"['1-2024-0522-000-000.JPG', '1-2024-0522-000-001.JPG', '1-2024-0522-000-002.JPG', '1-2024-0522-000-003.JPG', '1-2024-0522-000-004.JPG', '1-2024-0522-000-005.JPG', '1-2024-0522-000-006.JPG']",7,Liste_AK Kommunikation.xls
1/2024/0523 0,2024,1-2024-0523-,"['1-2024-0523-000-000.JPG', '1-2024-0523-000-001.JPG', '1-2024-0523-000-002.JPG', '1-2024-0523-000-003.JPG', '1-2024-0523-000-004.JPG', '1-2024-0523-000-005.JPG', '1-2024-0523-000-006.JPG', '1-2024-0523-000-007.JPG', '1-2024-0523-000-008.JPG', '1-2024-0523-000-009.JPG', '1-2024-0523-000-010.JPG', '1-2024-0523-000-011.JPG', '1-2024-0523-001-000.JPG', '1-2024-0523-001-001.JPG', '1-2024-0523-001-002.JPG', '1-2024-0523-001-003.JPG', '1-2024-0523-001-004.JPG', '1-2024-0523-001-005.JPG', '1-2024-0523-001-006.JPG', '1-2024-0523-001-007.JPG', '1-2024-0523-001-008.JPG', '1-2024-0523-002-000.JPG', '1-2024-0523-002-001.JPG', '1-2024-0523-002-002.JPG', '1-2024-0523-002-003.JPG', '1-2024-0523-002-004.JPG', '1-2024-0523-002-005.JPG', '1-2024-0523-002-006.JPG', '1-2024-0523-002-007.JPG', '1-2024-0523-002-008.JPG', '1-2024-0523-003-000.JPG', '1-2024-0523-003-001.JPG', '1-2024-0523-003-002.JPG', '1-2024-0523-003-003.JPG', '1-2024-0523-003-004.JPG', '1-2024-0523-003-005.JPG', '1-2024-0523-003-006.JPG', '1-2024-0523-003-007.JPG', '1-2024-0523-003-008.JPG', '1-2024-0523-003-009.JPG']",40,Liste_AK Kommunikation.xls
1/2024/0529 0,2024,1-2024-0529-,"['1-2024-0529-000-000.JPG', '1-2024-0529-000-001.JPG', '1-2024-0529-000-002.JPG', '1-2024-0529-000-003.JPG', '1-2024-0529-000-004.JPG']",5,Liste_AK Kommunikation.xls
1/2024/0530 0,2024,1-2024-0530-,"['1-2024-0530-000-000.JPG', '1-2024-0530-000-001.JPG', '1-2024-0530-000-002.JPG', '1-2024-0530-000-003.JPG', '1-2024-0530-000-004.JPG', '1-2024-0530-000-005.JPG']",6,Liste_AK Kommunikation.xls
1/2024/0531 0,2024,1-2024-0531-,"['1-2024-0531-000-000.JPG', '1-2024-0531-000-001.JPG', '1-2024-0531-000-002.JPG', '1-2024-0531-000-003.JPG', '1-2024-0531-000-004.JPG']",5,Liste_AK Kommunikation.xls
1/2024/0532 0,2024,1-2024-0532-,"['1-2024-0532-000-000.JPG', '1-2024-0532-000-001.JPG', '1-2024-0532-000-002.JPG', '1-2024-0532-000-003.JPG', '1-2024-0532-000-004.JPG']",5,Liste_AK Kommunikation.xls
1/2024/0533 0,2024,1-2024-0533-,"['1-2024-0533-000-000.JPG', '1-2024-0533-000-001.JPG', '1-2024-0533-000-002.JPG', '1-2024-0533-000-003.JPG', '1-2024-0533-000-004.JPG']",5,Liste_AK Kommunikation.xls
1/2024/0534 0,2024,1-2024-0534-,"['1-2024-0534-000-000.JPG', '1-2024-0534-000-001.JPG', '1-2024-0534-000-002.JPG', '1-2024-0534-000-003.JPG', '1-2024-0534-000-004.JPG']",5,Liste_AK Kommunikation.xls
